accession	tax_id	scientific_name	last_updated	base_count	first_public	description
EU877939	7217	Drosophila ananassae	2008-12-16	807	2008-08-06	Drosophila ananassae isolate 17ADH ADH (adh) gene, partial cds.
EU877936	7217	Drosophila ananassae	2008-12-16	824	2008-08-06	Drosophila ananassae isolate 21ADH ADH (adh) gene, partial cds.
EF136977	40366	Drosophila americana	2007-09-11	840	2006-12-24	Drosophila americana isolate FP99.27 Adh (Adh) gene, partial cds.
EF136982	40366	Drosophila americana	2007-09-11	840	2006-12-24	Drosophila americana isolate HI99.31 Adh (Adh) gene, partial cds.
EF137002	40366	Drosophila americana	2007-09-11	840	2006-12-24	Drosophila americana isolate IR04.12 Adh (Adh) gene, partial cds.
EF136979	40366	Drosophila americana	2007-09-11	840	2006-12-24	Drosophila americana isolate HI99.03 Adh (Adh) gene, partial cds.
EF136989	40366	Drosophila americana	2007-09-11	840	2006-12-24	Drosophila americana isolate SB02.02 Adh (Adh) gene, partial cds.
EF136998	40366	Drosophila americana	2007-09-11	840	2006-12-24	Drosophila americana isolate SB02.11 Adh (Adh) gene, partial cds.
EF136974	40366	Drosophila americana	2007-09-11	840	2006-12-24	Drosophila americana isolate FP99.85 Adh (Adh) gene, partial cds.
U64550	7237	Drosophila pseudoobscura	2005-04-18	3484	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS333 allele, complete cds.
X54120	7245	Drosophila yakuba	2006-11-14	2284	1992-04-14	D.yakuba Adh gene for alcohol dehydrogenase and Adh-related gene
U64529	7237	Drosophila pseudoobscura	2005-04-18	3491	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS251 allele, complete cds.
U64533	7237	Drosophila pseudoobscura	2005-04-18	3465	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS267 allele, complete cds.
